client,brand,use_case_name,extract_date,start_date,end_date,analysis_level,granularity,channel,place_channel,path,description,avg_time,mean_time,avg_time_non_ntb,mean_time_non_ntb,avg_time_ntb,mean_time_ntb,impressions_all_users,impressions_cost_all_users,clicks_all_users,reach,impressions_brand_store,impressions,impressions_cost,clicks,user_video_clicks_views,video_clicks_views,user_video_midpoint_views,video_midpoint_views,user_video_third_quartile_views,video_third_quartile_views,user_video_first_quartile_views,video_first_quartile_views,user_video_complete_views,video_complete_views,video_pause_views,video_replay_views,video_resume_views,video_unmute_views,video_mute_views,video_skip_backward_views,video_skip_forward_views,user_detail_page_view,detail_page_view,user_detail_page_view_clicks,detail_page_view_clicks,user_detail_page_view_views,detail_page_view_views,user_add_to_cart,add_to_cart,user_add_to_cart_clicks,add_to_cart_clicks,user_add_to_cart_views,add_to_cart_views,user_total_detail_page_view,total_detail_page_view,user_total_detail_page_view_clicks,total_detail_page_view_clicks,user_total_detail_page_view_views,total_detail_page_view_views,user_total_add_to_cart,total_add_to_cart,user_total_add_to_cart_clicks,total_add_to_cart_clicks,user_total_add_to_cart_views,total_add_to_cart_views,user_purchased,product_sales,purchases,units_sold,user_total_purchased,total_purchases,total_product_sales,total_units_sold,ntb_purchased,ntb_product_sales,ntb_purchases,ntb_units_sold,ntb_total_purchased,total_ntb_purchases,total_ntb_product_sales,total_ntb_units_sold
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1,1,2657,7.491182230000001,20,0,0,1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,1,80,1,71,1,9,0,0,0,0,0,0,1,136,1,126,1,10,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,1,1,17,0.014707959999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1,1,39,2.64664345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Campaign Performance,Channel,DSP,"",[],Campaign Performance per channel (levier),0.0,0.0,0.0,0.0,0.0,0.0,42887787,61501.52827932993,78112,4350783,0,32446954,47879.381470819986,59068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Place of channel,Format,BRAND STORE,Beginner,[],Place of the format (format in french) in the path,"","","","","","",0,0.0,0,785,12403,888,4.860229929999994,659,0,0,3,4,2,2,7,15,1,1,0,0,0,0,0,0,0,10,18,10,15,1,3,1,1,1,1,0,0,12,28,12,24,1,4,2,3,2,3,0,0,2,41.5100,2,2,2,3,57.0700,3,1,13.0400,1,1,1,1,13.0400,1
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Place of channel,Format,"",Solo,"",Place of the format (format in french) in the path,"","","","","","",0,0.0,0,574,0,663,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,1,1,84,0.02308568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/BRAND STORE, 2/DSP BRAND STORE, 3/SEARCH]",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,28,33,409,0.06994474,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Media Mix,Format,"","","[1/BRAND STORE, 2/SEARCH]",Media Mix per format (format in french),"","","","","","",0,0.0,0,48,54,482,0.0,0,0,0,1,1,1,1,3,3,1,1,0,0,0,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,2,4,2,4,0,0,1,1,1,1,0,0,0,0.0000,0,0,1,1,24.6200,1,0,0.0000,0,0,1,1,24.6200,1
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Media Mix,Channel,"","","[1/DSP, 2/DSP BRAND STORE, 3/SEARCH, 4/SEARCH BRAND STORE]",Media Mix per channel (levier in french),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,11832,0,937050,3289.9673698299994,4616,0,0,1976,3439,1508,2380,2833,6090,1195,1789,0,0,0,2,0,0,0,2294,9487,1993,8166,570,1321,274,378,5,10,270,368,2689,13689,2012,9996,1195,3693,645,1065,12,21,635,1044,611,22807.1100,868,898,817,1248,32705.7000,1297,311,11701.9800,383,395,409,520,15339.6100,535
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1,1,103,0.10599808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Media Mix,Format,"","","[1/DSP, 2/SEARCH]",Media Mix per format (format in french),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,300884,0,10915223,50016.105606500016,71322,0,0,32758,47159,24114,32202,50950,85363,18913,24191,0,0,0,88,0,0,0,45813,126738,40197,109959,8481,16779,5558,7563,103,137,5464,7426,50396,162348,40649,128703,14098,33645,9650,15058,135,199,9531,14859,14182,516253.3100,19919,20570,17775,26882,695471.1400,27859,5852,222234.3100,7428,7613,6771,8876,257396.6000,9109
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Media Mix,Format,"","","[1/BRAND STORE, 2/DSP BRAND STORE, 3/SEARCH, 4/SEARCH BRAND STORE]",Media Mix per format (format in french),"","","","","","",0,0.0,0,44,44,1820,52.19529402,43,0,0,3,3,1,1,6,6,0,0,0,0,0,0,0,0,0,5,9,4,8,1,1,0,0,0,0,0,0,7,21,6,12,2,9,2,3,1,2,1,1,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/SEARCH, 2/SEARCH BRAND STORE, 3/DSP, 4/DSP BRAND STORE, 5/BRAND STORE]",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,2,2,555,5.32796787,4,0,0,2,7,2,6,2,12,2,5,0,0,0,0,0,0,0,2,8,2,8,0,0,0,0,0,0,0,0,2,9,2,9,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,54,58,358,0.5335708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","[1/BRAND STORE, 2/SEARCH]",Path to conversion per format (format in french),"","","","","","",0,0.0,0,25,28,287,0.0,0,0,0,1,1,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Media Mix,Format,"","","[1/DSP BRAND STORE, 2/SEARCH, 3/SEARCH BRAND STORE]",Media Mix per format (format in french),"","","","","","",0,0.0,0,9670,0,321073,540.4563982699989,832,0,0,880,1208,631,790,1449,2291,494,604,0,0,0,1,0,0,0,471,1181,435,1103,40,78,24,27,0,0,24,27,630,1816,438,1263,240,553,127,196,0,0,127,196,107,3500.4700,153,160,147,221,4770.7700,230,70,2353.1000,95,99,100,142,3203.7900,146
